id,slug,cnt_pages,cnt_products_last_page
5300,polimernye_kolodtsy,1,7
5302,drenazhnye_sistemy,1,0
5304,betonnye_kanaly,1,3
5305,peskoulovitel_plastikovyj,1,1
5306,lotki_drenazhnye_plastikovye,1,5
5309,pozharnoe_oborudovanie,1,0
5310,pozharnyj_gidrant_podzemnyj,8,18
5313,kovera_avk,1,3
5314,podstavki_pod_pozharnyj_gidrant,4,6
5318,drenazhnye_kolodtsy,1,11
5319,drenazhnye_truby_gofrirovannye,1,12
5320,prokladki_pod_pozharnyj_gidrant,1,2
5322,truby_i_fitingi_dlja_naruzhnoj_kanalizatsii,1,0
5335,truby_i_fitingi_dlja_vnutrennej_kanalizatsii,1,0
5356,drenazhnye_fitingi,1,0
5378,mufty_nkt,2,4
5382,mufty_obsadnoj_truby,1,0
5386,mufty_ottm,5,15
5401,mufty_burilnoj_truby,5,12
5424,ljuki_chugunnye,1,0
5437,medno-nikelevye_truby,9,17
5464,list_ploskij,12,3
5524,truba_polytron_prokan,3,8
5546,polipropilenovye_truby_i_armatura,1,0
5547,dymohody_iz_nerzhavejuschej_stali,1,0
5548,elementy_dymohoda,1,0
5549,truba_otsinkovannaja_dlja_dymohoda,1,15
5551,alyuminievyj-profil,1103,3
5553,inkonel,508,8
5554,truba-stalnaya,636,17
5555,ligatura,1,13
5556,gallij-metallicheskij,1,1
5557,krug-latunnyj,15,18
5558,vanadievyj-slitok,4,2
5561,anody,1,0
5562,katody,1,0
5563,medno-nikelevyj-splav,1,0
5564,konstantan-provoloka,5,5
5565,melhior,1,12
5566,hromel,2,15
5567,zhest-listovaya,137,8
5570,list-nerzhaveyushij-riflenyj,5,7
5571,prutok-nerzhaveyushij,49,6
5574,truba-profilnaya,781,4
5575,truba-v-ppu-izolyacii,23,6
5612,korpusnye-podshipniki,1,0
5613,truba-ocinkovannaya,82,8
5618,vse_fitingi,1,0
5619,bochata-santehnicheskaya,30,12
5620,krestovina-dlya-trub,16,9
5621,mufta-soedinitelnaya-dlya-trub,113,9
5622,fiting-nippel-dlya-trub,50,14
5623,obvod-dlya-trub,51,8
5625,sgony-dlya-trub,34,16
5626,ugolnik-dlya-trub,116,6
5627,otvod-dlya-trub,550,3
5628,trojnik-dlya-trub,118,13
5629,zaglushka-dlya-trub,43,17
5630,sedelka-dlya-trub,4,14
5662,perehod-dlya-trub,128,8
5663,vtulka-dlya-trub,7,18
5665,klapan-dlya-trub,47,17
5666,patrubok-dlya-trub,3,4
5667,reviziya-dlya-trub,1,18
5703,truba-asbestovaya,3,18
5705,skorlupa-ppu,15,8
5706,vypusk,6,1
5707,privarysh,8,15
5708,prochie-prutki-i-krugi,91,10
5709,prochie-lenty,77,14
5710,prochie-provoloki,392,3
5712,prochie-chushki-i-slitki,3,3
5713,prochie-redkie-metally,1,1
5715,list-zharoprochnyj,26,9
5716,krug-zharoprochnyj,1,15
5717,magnifer,1,4
5720,rulonnaya-stal,1928,3
5721,listy-iz-cvetnyh-metallov,1,0
5722,polipropilenovyj-ugol,1,7
5723,shtucer-dlya-trub,51,6
5724,burt-dlya-trub,2,9
5725,flancevye-soedineniya,219,4
5727,kran-probkovyj,6,12
5728,setka-gitter,2,10
5729,setka-kruchenaya-mane,2,1
5730,setka-riflenaya,2,14
5731,setka-svarnaya-stalnaya,139,4
5732,setka-cpvs,3,12
5744,opora-nepodvizhnaya-homutovaya,1,11
5745,opora-korpusnaya-homutovaya,2,13
5746,opora-beskorpusnaya-homutovaya,15,16
5748,elementy-krepleniya,1,0
5749,gidroizolyaciya,1,0
5750,teploizolyaciya,1,0
5751,elementy-ppuppm-truboprovodov,1,0
5752,soedinitelnaya-armatura,1,0
5755,zaporno-reguliruyushaya-armatura,1,0
5759,moyushaya-golovka,2,18
5760,kontrolno-izmeritelnaya-armatura,1,0
5761,zaglushka-dlya-pishevoj-armatury,3,3
5762,uplotnitelnye-detali,1,0
5763,chugunnyj-otvod,3,6
5764,chugunnaya-krestovina,2,18
5765,chugunnaya-reviziya,1,6
5766,chugunnyj-patrubok,1,16
